epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.114,0.77348,4.30081,0.94963,0.05054,0.53704,0.03962,0.02735,1.11089,42.0127,0.94652,0.00026,0.00026,0.00026
2,733.654,0.74732,2.08304,0.90662,0.07905,0.7037,0.0643,0.04712,1.03089,27.8017,0.95433,0.00048654,0.00048654,0.00048654
3,1079.44,0.81608,2.15486,0.91049,0.01313,0.61111,0.01031,0.00714,1.12352,171.347,0.99896,0.00065764,0.00065764,0.00065764
4,1414.9,0.85861,1.61001,0.98525,0.00989,0.24074,0.00665,0.00405,1.39589,76.9307,1.21026,0.0007733,0.0007733,0.0007733
5,1762.16,0.89085,1.47378,0.98761,0.00247,0.44444,0.00186,0.00127,1.25877,1573.24,1.09211,0.00083352,0.00083352,0.00083352
6,2096.04,0.76645,1.59976,0.91509,0.16188,0.22222,0.09866,0.07169,1.2125,2.81726,1.01206,0.0008383,0.0008383,0.0008383
7,2431.45,0.94738,1.85316,1.06386,0.10619,0.57407,0.08889,0.05634,1.14965,8.14981,0.99566,0.00078764,0.00078764,0.00078764
8,2777.29,0.82188,1.34352,0.98338,0.25577,0.57407,0.19505,0.12084,1.27386,2.77377,1.0216,0.000614,0.000614,0.000614
9,3100.15,0.75063,1.1185,0.92136,0.27489,0.48148,0.29139,0.19669,1.23354,2.09501,0.98113,0.000416,0.000416,0.000416
10,3420.39,0.70132,1.04012,0.90512,0.35585,0.66667,0.44167,0.32037,1.00341,2.84989,0.94112,0.000218,0.000218,0.000218
